,0,1
1713,5556234.949240191,4948283.331078848
1714,5579706.991772742,4947481.88109927
1715,5555834.192444565,4948259.225406929
1716,5556733.097547014,4948429.6302432
1717,5556458.24234126,4948352.926464851
1718,5579221.403244352,4948114.275461819
1719,5556848.153214553,4948406.192977573
1720,5562181.196470419,4943959.504493756
1721,5583215.184209998,4943137.48698096
1722,5562296.252137944,4944172.57054473
1723,5562330.3427061,4944338.762064488
1724,5561891.426641144,4944279.103570159
1725,5562300.5389364995,4944441.489616904
1726,5561993.191619551,4944893.470965361
1727,5560512.721139935,4946125.397455342
1728,5561947.993484692,4945235.470185703
1729,5569223.546030706,4946200.094099602
1730,5571307.063083142,4952781.007074035
1731,5573480.918704463,4951837.1208453765
1732,5568473.864947231,4946872.496686707
1733,5568435.62404176,4946964.91220826
1734,5583503.24007632,4943248.509014524
1735,5583656.365663714,4943406.321531849
1736,5576744.525326613,4948503.875558648
1737,5558961.768440349,4947509.184902815
1738,5574368.930446374,4952502.777748579
1739,5560303.158012192,4946368.761087559
1740,5559379.232821065,4947564.680734639
1741,5560767.351606978,4946341.720683978
1742,5574194.587247501,4952585.291323619
1743,5574302.387240698,4952486.807379217
1744,5559765.5601176815,4947208.229105773
1745,5574247.82181204,4952398.970347724
1746,5574197.248975729,4952649.172801067
1747,5574235.844035019,4952670.466626883
1748,5573040.466414523,4948260.322876673
1749,5576980.085838207,4948680.536013775
1750,5576998.717935797,4948928.076738899
1751,5560585.331749029,4946595.131543846
1752,5560815.443084083,4946424.678703065
1753,5572828.548063351,4948421.253353881
1754,5572979.351591239,4943917.191256719
1755,5561601.656812182,4945977.239996016
1756,5576891.331160679,4947035.817217038
1757,5572955.24591951,4944345.066933049
1758,5572397.80225659,4943760.504389016
1759,5561249.6823018165,4946185.007668041
1760,5576689.957461389,4946584.425034955
1761,5561099.886262437,4946371.4121899875
1762,5573904.458870802,4951637.716074749
1763,5574273.293783809,4951656.436741742
1764,5577354.058654138,4949396.54090686
1765,5577813.20677335,4949711.955701754
1766,5576468.496791778,4948311.029323463
1767,5576940.159915254,4949836.557854121
1768,5572317.383113746,4944137.82120811
1769,5572133.511707207,4944526.260192921
1770,5562362.3026145995,4945464.8161429465
1771,5576951.804976413,4949803.785325219
1772,5573360.294120219,4944608.364348885
1773,5562757.605076061,4945223.793999829
1774,5573648.859046996,4944727.412952244
1775,5535546.236650453,4953936.111145942
1776,5562969.540860129,4944796.854072864
1777,5562876.857127992,4945035.488049921
1778,5565315.254531902,4944284.802748172
1779,5564157.38409505,4944546.501462216
1780,5565069.306792624,4944378.179282599
1781,5564890.957041301,4944343.560323191
1782,5564490.832464842,4944500.6922612535
1783,5564633.586719001,4944441.0337669775
1784,5564727.335781433,4944373.9179609185
1785,5564805.26891101,4944348.833438547
1786,5563673.8089353815,4944509.286817193
1787,5573181.388752027,4945836.613474957
1788,5572889.313663083,4946196.882675516
1789,5573145.8313900605,4946317.965517261
1790,5573509.652065835,4945883.757268413
1791,5576929.513002511,4949868.332234724
1792,5576918.533373574,4949899.607541394
1793,5576974.429666344,4949741.567427907
1794,5581771.196648296,4952560.004904137
1795,5581868.3497287035,4952044.960492112
1796,5565700.945283638,4944084.42434928
1797,5565769.22877138,4944110.781387304
