indiv_id,trip_id,origin_taz,destination_taz,origin_departure_time,destination_arrival_time,travel_distance,origin_node,destination_node
77415,124505,84,2353,1550,1616,17,1363,1443
83608,134259,84,2281,1228,1234,4,1340,1818
37081,60611,84,67,1402,1410,3,1344,61
27813,45602,84,2281,1013,1019,4,1402,1826
46832,76100,84,2341,1719,1729,4,1401,2245
10393,17226,84,2315,1617,1648,18,1404,2324
89363,143106,84,2280,1204,1213,5,1404,1605
42649,69533,84,73,1736,1742,3,1403,1412
15480,25449,84,83,1842,1845,3,1404,1832
13628,22331,84,2274,2140,2159,13,1401,310
37137,60679,84,241,819,844,14,1402,2407
60332,97383,84,528,723,755,17,1403,1893
90331,144613,84,83,733,736,3,1344,1833
45553,74080,84,2281,1343,1349,4,1402,1818
45818,74486,84,2335,1035,1052,7,1402,1428
33993,55713,84,67,1457,1505,3,1401,1158
74672,120316,84,2267,1552,1608,9,1363,181
18277,30139,84,2281,902,908,4,1403,1818
37925,61902,84,2315,2025,2056,18,1363,1623
34037,55771,84,83,1448,1451,3,1344,1837
36950,60390,84,810,807,834,18,1344,810
97379,155090,84,2277,1622,1637,8,1404,1581
7893,12768,84,2310,1845,1915,19,1402,2235
9531,15605,84,2326,1304,1324,10,1401,417
15267,25090,84,2297,2012,2032,11,1403,2297
94830,151276,84,2161,2044,2113,15,1403,2161
9616,15775,84,73,1814,1820,3,1403,1412
33906,55577,84,83,1053,1056,3,1340,1163
83042,133386,84,2283,1228,1234,3,1403,1303
37186,60745,84,2264,654,721,16,1344,689
46359,75376,84,2359,2133,2154,10,1344,2247
37159,60710,84,2280,812,821,5,1340,1586
92782,148205,84,2280,1317,1326,5,1401,1588
68421,110253,84,2285,1552,1615,13,1363,2285
82440,132409,84,2280,848,857,5,1362,179
11252,18600,84,435,730,758,16,84,1926
2734,4308,84,2392,2152,2356,85,1401,312
85555,137350,84,2272,1253,1314,14,1402,337
96135,153282,84,2283,1300,1306,3,1362,1303
7614,12333,84,2335,831,848,7,1401,1474
37372,61067,84,2281,1412,1418,4,1340,2281
77478,124617,84,143,843,851,5,1362,981
34387,56396,84,2281,1146,1152,4,1362,1818
76377,122886,86,2312,1223,1251,17,82,2312
54627,88550,86,2349,1359,1416,11,1974,1516
49873,81043,86,2349,1419,1436,11,1974,1511
61912,99954,86,536,1040,1110,18,1408,763
10970,18158,86,83,1413,1420,4,1405,1816
1591,2530,86,2329,1453,1512,12,1422,193
41610,67856,86,2379,2105,2230,45,1422,2379
49616,80657,86,2349,840,857,11,87,2349
37687,61541,86,492,1621,1643,15,1410,485
66014,106452,86,83,1608,1615,4,86,1839
45288,73691,86,2327,1404,1417,9,87,412
66619,107350,86,2277,1641,1654,8,79,2477
56005,90769,86,2281,1751,1757,5,1405,1555
56156,90993,86,2349,936,953,11,1972,3
55950,90705,86,2349,1814,1831,11,87,1516
46546,75653,86,2359,1032,1056,12,95,1879
99217,157739,86,2348,1801,1817,9,1410,1375
18146,29957,86,2280,1713,1722,6,95,1601
38072,62202,86,83,1247,1254,4,1410,1839
35759,58530,86,2279,1712,1719,5,1974,1677
40217,65675,86,2267,1307,1322,10,1341,2267
92463,147753,86,691,1154,1222,17,70,691
45196,73547,86,143,714,721,5,70,163
21941,36113,86,2283,1702,1708,3,1422,977
95286,152003,86,2282,1313,1317,5,1408,1563
85071,136602,86,2335,2201,2215,5,82,1530
68972,111040,86,2369,1936,2038,46,71,2466
63386,102309,86,2279,1034,1041,5,1410,1682
78321,126031,86,2387,1550,1630,19,79,2091
63991,103304,86,2280,1713,1722,6,87,1604
31283,51376,86,2336,929,935,3,86,2336
10728,17731,86,2280,946,955,6,1405,1601
41203,67278,86,2279,1232,1239,5,95,1682
29519,48328,86,2262,1248,1312,15,1405,490
35223,57680,86,2277,1552,1605,8,1974,1581
48945,79564,86,2283,1640,1646,3,1974,1821
18398,30320,86,83,1936,1943,4,1408,1838
53953,87489,86,2333,1244,1322,24,71,2333
98334,156544,86,2353,1254,1318,16,95,1443
54883,88965,86,1131,831,858,19,1974,1131
41197,67272,86,2339,916,924,4,1341,2339
62145,100321,86,2342,1112,1121,6,1406,1386
2990,4695,86,2348,1133,1149,9,86,2157
3959,6293,86,2336,1005,1011,3,71,27
5129,8229,86,2349,1843,1900,11,70,22
34548,56641,86,2279,2211,2218,5,95,1681
95638,152544,86,2412,819,843,20,86,2412
94977,151476,86,83,1206,1213,4,95,1836
66193,106727,86,2412,1211,1235,20,80,1725
47424,77108,86,2349,927,944,11,1972,1416
15079,24799,86,2346,1433,1509,22,1341,1978
6629,10730,86,2359,1644,1708,12,1405,1870
52120,84572,86,2274,1326,1343,13,82,2274
93178,148741,86,2325,1006,1032,17,86,1088
17203,28371,86,2283,1648,1654,3,82,1820
25727,42175,86,2339,1547,1555,4,1405,1399
97157,154807,86,67,1326,1334,5,1974,59
60012,96911,86,153,1055,1131,18,87,1456
46391,75427,86,2359,1302,1326,12,71,596
20418,33669,86,2270,1258,1308,8,1341,1690
60891,98234,86,2277,1848,1901,8,95,1012
31576,51843,86,2367,833,926,51,1341,7
77461,124588,86,2277,614,627,8,1974,1491
32515,53377,86,528,759,830,17,1408,1895
52383,85002,86,2358,1650,1740,32,1405,445
38299,62581,86,2260,1924,1950,15,1972,480
88006,141140,86,2340,940,950,5,1422,628
35658,58393,86,2348,907,923,9,95,1501
766,1237,86,2342,1215,1224,6,86,1398
7340,11891,86,2341,950,1003,6,95,2243
58024,93925,86,2280,1504,1513,6,1406,1550
8833,14399,94,2161,750,803,3,458,2161
15032,24728,94,691,1002,1018,4,2167,630
34932,57238,94,2324,1140,1153,9,2167,1981
15859,26021,94,2254,625,639,3,723,1912
48056,78103,94,86,652,708,13,2167,79
53551,86811,94,2326,1611,1620,5,458,224
26350,43320,94,2267,1846,1909,12,728,85
40164,65615,94,2329,1247,1256,5,458,999
38769,63296,94,2302,1237,1246,4,458,1178
30750,50467,94,2264,1749,1805,5,2167,1925
78014,125468,94,2250,1924,1937,3,458,380
